,,Bonneville,,,John Day,,,McNary (Umatilla),,,,
,,,,,,,,,,,,
,Year,Chinook,Sockeye,Coho,Chinook,Sockeye,Coho,Chinook,Sockeye,Coho,,
,,,,,,,,,,,,
,2019,381773,63046,73961,211671,52526,29865,198423,51561,25503,,
,2018,336030,193816,40889,201411,168469,16859,187877,155480,12138,,
,2017,488981,87693,75936,272617,66041,29080,258498,58022,21996,,
,2016,697985,342498,42025,451364,289976,17019,410876,261696,10898,,
,2015,1337099,510706,37402,808762,366364,18762,751407,279744,16523,,
,2014,1152642,614179,279733,649768,557531,107853,605907,546012,98553,,
,2013,1129664,185505,59610,571719,155498,16718,582908,134202,12128,,
,2012,589937,515673,54968,335443,394166,30216,341652,364147,17368,,
,2011,677171,185796,145299,359180,143605,62795,338058,113952,42220,,
,2010,809799,386525,120915,464745,324128,21506,417747,278799,13673,,
,2009,480284,177823,224893,287864,157402,64893,232380,121672,34089,,
,2008,518942,213607,135535,282164,193409,39975,224684,146924,18756,,
,2007,275954,24376,96376,154227,24277,33206,130532,18175,20430,,
,2006,493708,37066,102111,261654,35387,33464,199432,29295,12735,,
,2005,570413,72971,83305,300117,69770,32871,250459,63540,19372,,
,2004,846026,123291,114941,400241,113497,33382,343674,89707,19268,,
,2003,921314,39291,125746,417660,35417,34609,370865,32037,18458,,
,2002,870035,49610,88084,410161,41915,7669,380976,39424,2144,,
,2001,867728,114934,259533,453110,107869,48870,437120,97188,22918,,
,2000,401711,93398,85649,212479,88372,20565,152763,60242,10147,,
,1999,306981,17877,40684,143671,14809,11901,106891,11884,4736,,
,1998,248860,13218,46290,116283,9837,7646,99432,9391,5959,,
,1997,360673,47008,24061,169566,35830,3518,145958,38043,2261,,
,1996,272884,30232,14954,118531,25698,3289,101616,28585,1281,,
,1995,189419,8774,10395,83085,8667,1913,84692,8320,914,,
,1994,208197,12678,20291,107778,11170,2455,107889,10603,1347,,
,1993,259337,80178,10642,132084,61218,2679,133097,66485,360,,
,1992,219688,84992,14369,109941,69731,1710,111723,68737,1196,,
,1991,226411,76481,58868,90275,63760,6692,82710,69365,1609,,
,1990,296525,49581,11627,134118,42077,1521,121159,46145,1054,,
,1989,373205,41884,27402,183162,39374,6051,151499,41318,1925,,
,1988,411896,79714,27054,225915,48095,4243,184870,50080,1111,,
,1987,468610,116993,17922,273958,75529,2110,235916,72180,335,,
,1986,370729,58123,108649,212873,46327,1029,209457,46443,803,,
,1985,296429,166340,38550,188334,124941,791,167514,98457,2784,,
,1984,216465,152545,16694,118629,109815,1286,102675,56894,897,,
,1983,185665,100527,8401,96390,89810,933,91734,40903,819,,
,1982,247911,50219,55816,87116,37970,2525,69246,15077,1356,,
,1981,232299,56037,21935,79812,46146,943,63427,26644,1725,,
,1980,207770,58882,12974,74787,50675,1016,63209,44301,306,,
,1979,276306,52628,0,118154,43630,0,95275,37792,0,,
,1978,394600,18436,0,174852,13778,0,144148,18511,0,,
,1977,366657,99829,0,194931,85701,0,183581,80781,0,,
,1976,507773,43611,0,175910,30446,0,163314,24632,0,,
,1975,425566,58212,0,159079,50774,0,133150,43143,0,,
,1974,366759,43837,0,167888,33121,0,127858,26505,0,,
,1973,398635,58979,0,249492,64744,0,184112,42731,0,,
,1972,394456,56323,0,225631,51793,0,168821,26422,0,,
,1971,405702,87447,0,193881,72232,0,171448,52867,0,,
,1970,384780,70762,0,222488,78133,0,168892,59636,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,